,basin,nse,bias,stdev,obs5,sim5,obs95,sim95,obs0,sim0,obsL,simL,obsH,simH,obsFDC,simFDC
362,02125000,0.3496983626091854,0.12378839554521018,0.32797263360949624,0.0,0.09624223356286972,3.2634201049804688,2.320223523217945,319,0,1535,261,619,83,-6.215971809646401,-2.722929184859492
363,02137727,0.7484790750452908,0.16202460230463533,0.6925448465659219,0.38251298666000366,0.24487939441522544,3.8033790111541705,3.3868895652578628,0,0,97,116,41,33,-1.928873668567547,-2.1334362291415156
364,02149000,0.7247875386389782,0.08081818736582783,1.0560762372029397,0.3349480628967285,0.18097195165914068,3.2059316635131836,3.4727407552300886,0,0,40,216,48,62,-1.9151295702043674,-2.310215197847303
365,04063700,0.30876188406389904,-0.4152017973772997,1.1258921921255167,0.16996979713439941,0.33594817655376424,2.0532350540161133,2.256587478729758,0,0,0,0,84,25,-1.8229696940726374,-1.326112921537631
366,04127997,-5.669261733174867,0.04400314079141864,3.2530395094434637,0.7284622192382812,0.31941354687359286,1.5455211400985718,2.2722795614007656,0,0,0,0,0,17,-0.4769461996873639,-1.6933716407783954
367,04213075,0.1892232664707214,0.3420102928183539,0.3424155830969031,0.17201708257198334,0.30583795072355224,5.309169292449951,2.5273138237730715,0,0,242,0,172,23,-2.854676454681426,-1.628878748524301
368,04221000,0.686354649820899,-0.0643513726658421,0.7054314667976966,0.10172220319509506,0.4173692750132174,4.397024154663086,3.9095547713864653,0,0,656,0,138,30,-3.182472177371004,-1.6864338426751542
369,03173000,0.6764076909189309,0.06338992296301545,0.661471866640092,0.12010440975427628,0.17332568546353894,3.192248821258545,2.529237892707004,0,0,82,96,141,61,-3.574488981286461,-2.312827894962793
370,03186500,0.6405850021176129,0.08773885278788038,0.6363211020414897,0.07383062690496445,0.4870721854126108,8.645566654205282,6.315127402495262,0,0,948,0,113,28,-3.237897851177973,-2.1559209441757345
371,03237280,0.4008488999552333,0.19331963121264248,0.5142302124001066,0.0,0.1461395616649635,4.725160121917725,2.943741850245306,437,0,1819,144,561,96,-7.942541765389472,-2.7249686011825456
372,03479000,0.6442047938327431,-0.029106748083427527,0.6350011413085414,0.30782803893089294,0.4356090001513953,4.2582879066467285,4.340159405027973,0,0,94,17,51,28,-2.12005969234102,-1.91663493508887
373,03488000,0.6750200311652543,0.04786701966996737,0.7097380604148612,0.12828490138053894,0.2115779306217589,3.7638788461685135,2.958202958099902,0,0,355,99,101,32,-3.1761093806815093,-2.278212719781828
374,05362000,0.5248785133426095,-0.07242922653285315,0.5143246287869562,0.06890858709812164,0.23716727480000044,3.299408793449393,2.2143203882353046,0,0,84,32,392,35,-2.8868436001777584,-1.5405885092807643
375,05591550,0.7054130542797179,-0.03748831733200339,0.7369762154702334,0.0,0.14064819270452428,4.151586055755615,3.4532691565771265,760,0,1857,107,515,160,-7.444653876715676,-2.5694576852188513
376,06803510,0.5396988176297081,-0.03748622964491766,0.8533756222043863,0.03901508450508118,0.012295073825361264,0.5635512471199036,0.8409136920947169,0,3,103,613,133,252,-1.7811717696932894,-3.279295556938623
377,06885500,0.6453672388139083,-0.1457027531359328,0.7366175890994663,0.00806734710931778,0.01856696808811592,1.4299948811530891,1.5408608491889206,0,0,534,613,514,258,-2.955360552821482,-3.1336586475261528
378,07196900,0.5678229178562239,-0.143946940993151,0.6607664671014567,0.015828123316168785,0.12669532362478408,3.5613276958465576,3.7268588205331343,50,0,1110,323,338,134,-4.6749894657377675,-2.4180869675922203
379,07315200,0.33828229166854373,-0.9889911635097547,0.7999647568243335,0.0,0.008732493141393148,0.12211088091135025,0.6564910862038109,3080,1,3080,357,5479,398,-inf,-3.0619528308012636
380,07346045,-0.2958710569757308,-0.12575466168689123,1.309284487242959,0.0,0.032579613379963304,3.2623023986816406,3.3917234088974006,381,0,1556,724,337,298,-5.392392014527578,-3.774355783688134
381,08086290,0.5771627580078744,-0.3803284658314905,0.6892378889877797,0.0,0.008905835842077213,0.13534209132194336,0.35705229753046,2178,0,2178,258,1482,234,-inf,-2.1973627643351588
382,08158810,0.42084176860389266,0.4217787128349028,0.5026127968305866,0.0,0.011302813833840396,2.0914645195007324,0.9992084763166028,1242,0,1962,639,1319,410,-10.430361693178899,-4.384154549129171
383,08202700,0.02898055053557036,-3.390247257168038,0.9838327742517881,0.0,0.015984939739907555,0.0,0.8683019965635806,5273,0,5273,177,5479,412,,-3.246960050055139
384,09066300,0.7867403522533644,-0.47893446063435097,1.0407723110728542,0.041226230561733246,0.20070336595659943,5.232560157775879,5.66344564095023,11,0,179,0,837,485,-3.040309564626441,-2.670933642758786
385,09210500,0.7421978823466056,-0.1527554561220516,1.2491897313264835,0.09947706013917923,0.10577126421263812,1.6046893000602689,1.9381871799631143,0,0,0,0,214,305,-1.7289238499735982,-2.104846462855104
